NUMBER;DRIVER_NUMBER;LAP_NUMBER;LAP_TIME;LAP_IMPROVEMENT;CROSSING_FINISH_LINE_IN_PIT;S1;S1_IMPROVEMENT;S2;S2_IMPROVEMENT;S3;S3_IMPROVEMENT;KPH;ELAPSED;HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS
9;1;63;1:47.327;0;;34.333;0;36.407;0;36.587;0;194.3;2:21:40.289;18:21:11.553;0:34.333;0:36.407;0:36.587;266;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.333;36.407;36.587
9;1;64;1:47.462;0;;34.390;0;36.400;0;36.672;0;194.1;2:23:27.751;18:22:59.015;0:34.390;0:36.400;0:36.672;267;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.390;36.400;36.672
9;1;65;1:47.351;0;;34.212;1;36.399;0;36.740;0;194.3;2:25:15.102;18:24:46.366;0:34.212;0:36.399;0:36.740;267;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.212;36.399;36.740
9;1;66;1:47.394;0;;34.202;1;36.551;0;36.641;0;194.2;2:27:02.496;18:26:33.760;0:34.202;0:36.551;0:36.641;268;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.202;36.551;36.641
9;1;67;1:47.329;0;;34.214;0;36.401;0;36.714;0;194.3;2:28:49.825;18:28:21.089;0:34.214;0:36.401;0:36.714;269;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.214;36.401;36.714
9;1;68;1:47.271;0;;34.196;1;36.467;0;36.608;0;194.4;2:30:37.096;18:30:08.360;0:34.196;0:36.467;0:36.608;269;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.196;36.467;36.608
9;1;69;1:47.141;1;;34.128;1;36.414;0;36.599;0;194.6;2:32:24.237;18:31:55.501;0:34.128;0:36.414;0:36.599;270;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.128;36.414;36.599
9;1;70;1:47.435;0;;34.102;1;36.586;0;36.747;0;194.1;2:34:11.672;18:33:42.936;0:34.102;0:36.586;0:36.747;270;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.102;36.586;36.747
9;1;71;1:48.393;0;;34.099;1;36.745;0;37.549;0;192.4;2:36:00.065;18:35:31.329;0:34.099;0:36.745;0:37.549;271;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.099;36.745;37.549
9;1;72;1:57.660;0;;34.210;0;38.725;0;44.725;0;177.2;2:37:57.725;18:37:28.989;0:34.210;0:38.725;0:44.725;;Nesov;;Silver;;Pure Rxcing;Porsche;GF;34.210;38.725;44.725
9;1;73;5:20.942;0;;2:27.307;0;1:21.092;0;1:32.543;0;65.0;2:43:18.667;18:42:49.931;2:27.307;1:21.092;1:32.543;79;Nesov;;Silver;;Pure Rxcing;Porsche;FCY;147.307;81.092;92.543
9;1;74;4:20.100;0;;1:25.933;0;1:21.508;0;1:32.659;0;80.2;2:47:38.767;18:47:10.031;1:25.933;1:21.508;1:32.659;79;Nesov;;Silver;;Pure Rxcing;Porsche;FCY;85.933;81.508;92.659
9;1;75;2:38.627;0;;1:02.371;0;39.550;0;56.706;0;131.5;2:50:17.394;18:49:48.658;1:02.371;0:39.550;0:56.706;89;Nesov;;Silver;;Pure Rxcing;Porsche;SC;62.371;39.550;56.706
9;1;76;2:49.071;0;;1:03.975;0;50.930;0;54.166;0;123.3;2:53:06.465;18:52:37.729;1:03.975;0:50.930;0:54.166;110;Nesov;;Silver;;Pure Rxcing;Porsche;GF;63.975;50.930;54.166
9;1;77;1:51.177;0;;35.007;0;38.624;0;37.546;0;187.6;2:54:57.642;18:54:28.906;0:35.007;0:38.624;0:37.546;269;Nesov;;Silver;;Pure Rxcing;Porsche;GF;35.007;38.624;37.546
11;2;1;3:10.074;1;;52.396;1;54.728;1;1:22.950;1;109.7;3:10.074;16:02:41.338;0:52.396;0:54.728;1:22.950;164;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;SC;52.396;54.728;82.950
11;2;2;4:30.408;0;;1:52.947;0;1:18.520;0;1:18.941;1;77.1;7:40.482;16:07:11.746;1:52.947;1:18.520;1:18.941;73;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;SC;112.947;78.520;78.941
11;2;3;3:13.701;0;;1:14.472;0;1:06.778;0;52.451;1;107.7;10:54.183;16:10:25.447;1:14.472;1:06.778;0:52.451;39;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;SC;74.472;66.778;52.451
11;2;4;2:41.096;1;;1:02.001;0;52.934;1;46.161;1;129.5;13:35.279;16:13:06.543;1:02.001;0:52.934;0:46.161;81;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;SC;62.001;52.934;46.161
11;2;5;2:22.921;1;;41.121;1;53.882;0;47.918;0;145.9;15:58.200;16:15:29.464;0:41.121;0:53.882;0:47.918;186;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;SC;41.121;53.882;47.918
11;2;6;2:44.062;0;;55.244;0;57.098;0;51.720;0;127.1;18:42.262;16:18:13.526;0:55.244;0:57.098;0:51.720;85;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;55.244;57.098;51.720
11;2;7;1:57.274;1;;36.676;1;39.574;1;41.024;1;177.8;20:39.536;16:20:10.800;0:36.676;0:39.574;0:41.024;240;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;36.676;39.574;41.024
11;2;8;1:55.793;1;;35.814;1;40.045;0;39.934;1;180.1;22:35.329;16:22:06.593;0:35.814;0:40.045;0:39.934;250;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.814;40.045;39.934
11;2;9;1:54.967;1;;36.165;0;39.201;1;39.601;1;181.4;24:30.296;16:24:01.560;0:36.165;0:39.201;0:39.601;261;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;36.165;39.201;39.601
11;2;10;1:55.374;0;;37.341;0;38.419;1;39.614;0;180.8;26:25.670;16:25:56.934;0:37.341;0:38.419;0:39.614;227;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;37.341;38.419;39.614
11;2;11;1:53.636;1;;35.596;1;38.648;0;39.392;1;183.5;28:19.306;16:27:50.570;0:35.596;0:38.648;0:39.392;252;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.596;38.648;39.392
11;2;12;1:51.849;1;;35.045;1;38.093;1;38.711;1;186.5;30:11.155;16:29:42.419;0:35.045;0:38.093;0:38.711;263;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.045;38.093;38.711
11;2;13;1:51.923;0;;34.881;1;37.759;1;39.283;0;186.3;32:03.078;16:31:34.342;0:34.881;0:37.759;0:39.283;265;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.881;37.759;39.283
11;2;14;1:51.424;1;;35.009;0;37.619;1;38.796;0;187.2;33:54.502;16:33:25.766;0:35.009;0:37.619;0:38.796;263;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.009;37.619;38.796
11;2;15;1:51.890;0;;35.003;0;38.091;0;38.796;0;186.4;35:46.392;16:35:17.656;0:35.003;0:38.091;0:38.796;262;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.003;38.091;38.796
11;2;16;1:52.622;0;;36.157;0;37.891;0;38.574;1;185.2;37:39.014;16:37:10.278;0:36.157;0:37.891;0:38.574;235;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;36.157;37.891;38.574
11;2;17;1:51.227;1;;34.983;0;37.741;0;38.503;1;187.5;39:30.241;16:39:01.505;0:34.983;0:37.741;0:38.503;262;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.983;37.741;38.503
11;2;18;1:50.537;1;;34.854;1;37.397;1;38.286;1;188.7;41:20.778;16:40:52.042;0:34.854;0:37.397;0:38.286;262;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.854;37.397;38.286
11;2;19;1:51.471;0;;34.908;0;37.822;0;38.741;0;187.1;43:12.249;16:42:43.513;0:34.908;0:37.822;0:38.741;262;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.908;37.822;38.741
11;2;20;1:51.854;0;;35.579;0;37.821;0;38.454;0;186.4;45:04.103;16:44:35.367;0:35.579;0:37.821;0:38.454;260;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.579;37.821;38.454
11;2;21;2:00.207;0;;34.982;0;37.718;0;47.507;0;173.5;47:04.310;16:46:35.574;0:34.982;0:37.718;0:47.507;;Tomasoni;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.982;37.718;47.507
11;1;22;3:28.380;0;;1:52.312;0;37.704;0;58.364;0;100.1;50:32.690;16:50:03.954;1:52.312;0:37.704;0:58.364;201;Muss;;Bronze;;Comtoyou Racing;Aston Martin;FCY;112.312;37.704;58.364
11;1;23;4:21.365;0;;1:26.585;0;1:22.163;0;1:32.617;0;79.8;54:54.055;16:54:25.319;1:26.585;1:22.163;1:32.617;78;Muss;;Bronze;;Comtoyou Racing;Aston Martin;FCY;86.585;82.163;92.617
11;1;24;4:21.741;0;;1:26.930;0;1:22.155;0;1:32.656;0;79.7;59:15.796;16:58:47.060;1:26.930;1:22.155;1:32.656;78;Muss;;Bronze;;Comtoyou Racing;Aston Martin;FCY;86.930;82.155;92.656
11;1;25;4:22.997;0;;1:27.815;0;1:22.292;0;1:32.890;0;79.3;1:03:38.793;17:03:10.057;1:27.815;1:22.292;1:32.890;78;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;87.815;82.292;92.890
11;1;26;2:43.878;0;B;1:13.239;0;43.126;0;47.513;0;127.3;1:06:22.671;17:05:53.935;1:13.239;0:43.126;0:47.513;;Muss;;Bronze;;Comtoyou Racing;Aston Martin;SC;73.239;43.126;47.513
11;1;27;3:08.921;0;;1:52.295;0;38.418;0;38.208;1;110.4;1:09:31.592;17:09:02.856;1:52.295;0:38.418;0:38.208;201;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;112.295;38.418;38.208
11;1;28;1:50.146;1;;35.504;0;37.311;1;37.331;1;189.3;1:11:21.738;17:10:53.002;0:35.504;0:37.311;0:37.331;260;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.504;37.311;37.331
11;1;29;1:49.301;1;;34.987;0;37.231;1;37.083;1;190.8;1:13:11.039;17:12:42.303;0:34.987;0:37.231;0:37.083;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.987;37.231;37.083
11;1;30;1:49.373;0;;34.870;0;37.284;0;37.219;0;190.7;1:15:00.412;17:14:31.676;0:34.870;0:37.284;0:37.219;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.870;37.284;37.219
11;1;31;1:48.619;1;;34.819;1;36.925;1;36.875;1;192.0;1:16:49.031;17:16:20.295;0:34.819;0:36.925;0:36.875;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.819;36.925;36.875
11;1;32;1:51.482;0;;34.749;1;36.783;1;39.950;0;187.1;1:18:40.513;17:18:11.777;0:34.749;0:36.783;0:39.950;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.749;36.783;39.950
11;1;33;2:30.885;0;;34.850;0;1:10.802;0;45.233;0;138.2;1:21:11.398;17:20:42.662;0:34.850;1:10.802;0:45.233;260;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.850;70.802;45.233
11;1;34;1:49.522;0;;35.174;0;36.908;0;37.440;0;190.4;1:23:00.920;17:22:32.184;0:35.174;0:36.908;0:37.440;261;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.174;36.908;37.440
11;1;35;1:48.815;0;;34.957;0;36.904;0;36.954;0;191.7;1:24:49.735;17:24:20.999;0:34.957;0:36.904;0:36.954;260;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.957;36.904;36.954
11;1;36;1:48.484;1;;34.686;1;37.022;0;36.776;1;192.2;1:26:38.219;17:26:09.483;0:34.686;0:37.022;0:36.776;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.686;37.022;36.776
11;1;37;1:49.138;0;;34.737;0;37.449;0;36.952;0;191.1;1:28:27.357;17:27:58.621;0:34.737;0:37.449;0:36.952;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.737;37.449;36.952
11;1;38;1:50.986;0;;36.740;0;37.251;0;36.995;0;187.9;1:30:18.343;17:29:49.607;0:36.740;0:37.251;0:36.995;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;36.740;37.251;36.995
11;1;39;1:49.817;0;;34.737;0;37.839;0;37.241;0;189.9;1:32:08.160;17:31:39.424;0:34.737;0:37.839;0:37.241;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.737;37.839;37.241
11;1;40;1:50.376;0;;34.806;0;37.042;0;38.528;0;188.9;1:33:58.536;17:33:29.800;0:34.806;0:37.042;0:38.528;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.806;37.042;38.528
11;1;41;2:20.157;0;;34.777;0;37.549;0;1:07.831;0;148.8;1:36:18.693;17:35:49.957;0:34.777;0:37.549;1:07.831;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;FCY;34.777;37.549;67.831
11;1;42;4:24.021;0;;1:26.265;0;1:22.167;0;1:35.589;0;79.0;1:40:42.714;17:40:13.978;1:26.265;1:22.167;1:35.589;;Muss;;Bronze;;Comtoyou Racing;Aston Martin;FCY;86.265;82.167;95.589
11;1;43;4:38.054;0;;1:42.871;0;1:22.306;0;1:32.877;0;75.0;1:45:20.768;17:44:52.032;1:42.871;1:22.306;1:32.877;78;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;102.871;82.306;92.877
11;1;44;2:25.333;0;;1:05.012;0;40.188;0;40.133;0;143.5;1:47:46.101;17:47:17.365;1:05.012;0:40.188;0:40.133;78;Muss;;Bronze;;Comtoyou Racing;Aston Martin;SC;65.012;40.188;40.133
11;1;45;2:15.925;0;;35.650;0;38.421;0;1:01.854;0;153.4;1:50:02.026;17:49:33.290;0:35.650;0:38.421;1:01.854;255;Muss;;Bronze;;Comtoyou Racing;Aston Martin;SC;35.650;38.421;61.854
11;1;46;2:46.913;0;;1:05.693;0;54.808;0;46.412;0;124.9;1:52:48.939;17:52:20.203;1:05.693;0:54.808;0:46.412;52;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;65.693;54.808;46.412
11;1;47;1:52.906;0;;36.001;0;38.691;0;38.214;0;184.7;1:54:41.845;17:54:13.109;0:36.001;0:38.691;0:38.214;238;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;36.001;38.691;38.214
11;1;48;1:49.950;0;;34.946;0;37.925;0;37.079;0;189.7;1:56:31.795;17:56:03.059;0:34.946;0:37.925;0:37.079;263;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.946;37.925;37.079
11;1;49;2:40.790;0;;35.113;0;38.875;0;1:26.802;0;129.7;1:59:12.585;17:58:43.849;0:35.113;0:38.875;1:26.802;;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;35.113;38.875;86.802
11;1;50;3:31.568;0;;2:15.907;0;37.987;0;37.674;0;98.6;2:02:44.153;18:02:15.417;2:15.907;0:37.987;0:37.674;202;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;135.907;37.987;37.674
11;1;51;1:49.496;0;;34.933;0;37.070;0;37.493;0;190.5;2:04:33.649;18:04:04.913;0:34.933;0:37.070;0:37.493;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.933;37.070;37.493
11;1;52;1:56.043;0;;34.839;0;37.124;0;44.080;0;179.7;2:06:29.692;18:06:00.956;0:34.839;0:37.124;0:44.080;262;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.839;37.124;44.080
11;1;53;1:50.459;0;B;34.962;0;37.732;0;37.765;0;188.8;2:08:20.151;18:07:51.415;0:34.962;0:37.732;0:37.765;260;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.962;37.732;37.765
11;1;54;1:49.417;0;;34.947;0;37.077;0;37.393;0;190.6;2:10:09.568;18:09:40.832;0:34.947;0:37.077;0:37.393;261;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.947;37.077;37.393
11;1;55;1:56.398;0;;34.890;0;37.079;0;44.429;0;179.2;2:12:05.966;18:11:37.230;0:34.890;0:37.079;0:44.429;;Muss;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.890;37.079;44.429
11;3;56;3:09.014;0;;1:53.397;0;37.876;0;37.741;0;110.3;2:15:14.980;18:14:46.244;1:53.397;0:37.876;0:37.741;202;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;113.397;37.876;37.741
11;3;57;1:49.291;0;;34.901;0;37.044;0;37.346;0;190.8;2:17:04.271;18:16:35.535;0:34.901;0:37.044;0:37.346;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.901;37.044;37.346
11;3;58;1:48.876;0;;34.752;0;37.041;0;37.083;0;191.5;2:18:53.147;18:18:24.411;0:34.752;0:37.041;0:37.083;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.752;37.041;37.083
11;3;59;1:48.974;0;;34.690;0;37.070;0;37.214;0;191.4;2:20:42.121;18:20:13.385;0:34.690;0:37.070;0:37.214;261;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.690;37.070;37.214
11;3;60;1:48.788;0;;34.778;0;36.915;0;37.095;0;191.7;2:22:30.909;18:22:02.173;0:34.778;0:36.915;0:37.095;261;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.778;36.915;37.095
11;3;61;1:48.398;1;;34.727;0;36.690;1;36.981;0;192.4;2:24:19.307;18:23:50.571;0:34.727;0:36.690;0:36.981;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.727;36.690;36.981
11;3;62;1:48.808;0;;34.701;0;36.986;0;37.121;0;191.7;2:26:08.115;18:25:39.379;0:34.701;0:36.986;0:37.121;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.701;36.986;37.121
11;3;63;1:48.762;0;;34.853;0;36.924;0;36.985;0;191.7;2:27:56.877;18:27:28.141;0:34.853;0:36.924;0:36.985;263;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.853;36.924;36.985
11;3;64;1:48.599;0;;34.597;1;36.856;0;37.146;0;192.0;2:29:45.476;18:29:16.740;0:34.597;0:36.856;0:37.146;263;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.597;36.856;37.146
11;3;65;1:48.127;1;;34.589;1;36.598;1;36.940;0;192.9;2:31:33.603;18:31:04.867;0:34.589;0:36.598;0:36.940;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.589;36.598;36.940
11;3;66;1:48.551;0;;34.672;0;36.916;0;36.963;0;192.1;2:33:22.154;18:32:53.418;0:34.672;0:36.916;0:36.963;263;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.672;36.916;36.963
11;3;67;1:48.568;0;;34.632;0;36.936;0;37.000;0;192.1;2:35:10.722;18:34:41.986;0:34.632;0:36.936;0:37.000;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.632;36.936;37.000
11;3;68;1:48.896;0;;34.600;0;36.934;0;37.362;0;191.5;2:36:59.618;18:36:30.882;0:34.600;0:36.934;0:37.362;262;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;34.600;36.934;37.362
11;3;69;2:48.052;0;;34.720;0;39.871;0;1:33.461;0;124.1;2:39:47.670;18:39:18.934;0:34.720;0:39.871;1:33.461;263;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;FCY;34.720;39.871;93.461
11;3;70;4:21.983;0;;1:26.797;0;1:22.238;0;1:32.948;0;79.6;2:44:09.653;18:43:40.917;1:26.797;1:22.238;1:32.948;78;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;FCY;86.797;82.238;92.948
11;3;71;4:14.889;0;;1:27.226;0;1:22.322;0;1:25.341;0;81.8;2:48:24.542;18:47:55.806;1:27.226;1:22.322;1:25.341;78;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;SC;87.226;82.322;85.341
11;3;72;1:57.968;0;;38.046;0;38.673;0;41.249;0;176.8;2:50:22.510;18:49:53.774;0:38.046;0:38.673;0:41.249;199;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;SC;38.046;38.673;41.249
11;3;73;2:46.516;0;;1:03.265;0;51.255;0;51.996;0;125.2;2:53:09.026;18:52:40.290;1:03.265;0:51.255;0:51.996;93;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;63.265;51.255;51.996
11;3;74;2:04.081;0;;45.632;0;39.474;0;38.975;0;168.1;2:55:13.107;18:54:44.371;0:45.632;0:39.474;0:38.975;224;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;45.632;39.474;38.975
11;3;75;2:09.598;0;;37.523;0;50.198;0;41.877;0;160.9;2:57:22.705;18:56:53.969;0:37.523;0:50.198;0:41.877;187;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;37.523;50.198;41.877
11;3;76;4:14.769;0;;1:38.994;0;1:22.392;0;1:13.383;0;81.9;3:01:37.474;19:01:08.738;1:38.994;1:22.392;1:13.383;31;Marcelli;;Bronze;;Comtoyou Racing;Aston Martin;GF;98.994;82.392;73.383
12;2;1;3:02.447;1;;50.887;1;49.997;1;1:21.563;1;114.3;3:02.447;16:02:33.711;0:50.887;0:49.997;1:21.563;183;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;SC;50.887;49.997;81.563
12;2;2;4:31.010;0;;1:54.096;0;1:17.850;0;1:19.064;1;77.0;7:33.457;16:07:04.721;1:54.096;1:17.850;1:19.064;71;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;SC;114.096;77.850;79.064
12;2;3;3:16.418;0;;1:16.163;0;1:06.182;0;54.073;1;106.2;10:49.875;16:10:21.139;1:16.163;1:06.182;0:54.073;33;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;SC;76.163;66.182;54.073
12;2;4;2:42.180;1;B;1:02.879;0;52.656;0;46.645;1;128.6;13:32.055;16:13:03.319;1:02.879;0:52.656;0:46.645;107;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;SC;62.879;52.656;46.645
12;2;5;2:32.128;1;;41.092;1;54.556;0;56.480;0;137.1;16:04.183;16:15:35.447;0:41.092;0:54.556;0:56.480;;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;SC;41.092;54.556;56.480
12;2;6;3:11.180;0;;1:56.443;0;37.591;1;37.146;1;109.1;19:15.363;16:18:46.627;1:56.443;0:37.591;0:37.146;202;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;116.443;37.591;37.146
12;2;7;1:49.092;1;;34.797;1;37.297;1;36.998;1;191.2;21:04.455;16:20:35.719;0:34.797;0:37.297;0:36.998;263;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.797;37.297;36.998
12;2;8;1:48.683;1;;34.813;0;36.807;1;37.063;0;191.9;22:53.138;16:22:24.402;0:34.813;0:36.807;0:37.063;263;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.813;36.807;37.063
12;2;9;1:48.149;1;;34.582;1;36.738;1;36.829;1;192.8;24:41.287;16:24:12.551;0:34.582;0:36.738;0:36.829;263;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.582;36.738;36.829
12;2;10;1:49.031;0;;34.483;1;36.620;1;37.928;0;191.3;26:30.318;16:26:01.582;0:34.483;0:36.620;0:37.928;265;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.483;36.620;37.928
12;2;11;1:48.093;1;;34.598;0;36.645;0;36.850;0;192.9;28:18.411;16:27:49.675;0:34.598;0:36.645;0:36.850;265;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.598;36.645;36.850
12;2;12;1:47.751;1;;34.542;0;36.525;1;36.684;1;193.5;30:06.162;16:29:37.426;0:34.542;0:36.525;0:36.684;264;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.542;36.525;36.684
12;2;13;1:48.251;0;;34.435;1;36.486;1;37.330;0;192.7;31:54.413;16:31:25.677;0:34.435;0:36.486;0:37.330;266;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.435;36.486;37.330
12;2;14;1:48.385;0;;34.458;0;36.790;0;37.137;0;192.4;33:42.798;16:33:14.062;0:34.458;0:36.790;0:37.137;267;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.458;36.790;37.137
12;2;15;1:48.905;0;;34.551;0;37.505;0;36.849;0;191.5;35:31.703;16:35:02.967;0:34.551;0:37.505;0:36.849;267;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.551;37.505;36.849
12;2;16;1:47.916;0;;34.481;0;36.559;0;36.876;0;193.3;37:19.619;16:36:50.883;0:34.481;0:36.559;0:36.876;265;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.481;36.559;36.876
12;2;17;1:48.653;0;;34.515;0;37.265;0;36.873;0;191.9;39:08.272;16:38:39.536;0:34.515;0:37.265;0:36.873;267;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.515;37.265;36.873
12;2;18;1:48.107;0;;34.550;0;36.776;0;36.781;0;192.9;40:56.379;16:40:27.643;0:34.550;0:36.776;0:36.781;267;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.550;36.776;36.781
12;2;19;1:48.269;0;;34.449;0;36.956;0;36.864;0;192.6;42:44.648;16:42:15.912;0:34.449;0:36.956;0:36.864;266;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.449;36.956;36.864
12;2;20;1:47.890;0;;34.595;0;36.529;0;36.766;0;193.3;44:32.538;16:44:03.802;0:34.595;0:36.529;0:36.766;268;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.595;36.529;36.766
12;2;21;1:48.155;0;;34.304;1;36.708;0;37.143;0;192.8;46:20.693;16:45:51.957;0:34.304;0:36.708;0:37.143;266;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.304;36.708;37.143
12;2;22;1:48.733;0;;34.575;0;36.915;0;37.243;0;191.8;48:09.426;16:47:40.690;0:34.575;0:36.915;0:37.243;268;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;34.575;36.915;37.243
12;2;23;1:54.319;0;;34.974;0;36.747;0;42.598;0;182.4;50:03.745;16:49:35.009;0:34.974;0:36.747;0:42.598;269;Kalender;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;FCY;34.974;36.747;42.598
12;1;24;4:23.495;0;;1:25.877;0;1:21.859;0;1:35.759;0;79.1;54:27.240;16:53:58.504;1:25.877;1:21.859;1:35.759;;Rindone;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;FCY;85.877;81.859;95.759
12;1;25;5:31.737;0;;2:37.028;0;1:22.116;0;1:32.593;0;62.9;59:58.977;16:59:30.241;2:37.028;1:22.116;1:32.593;78;Rindone;;Bronze;;GetSpeed Team Dubai;Mercedes-AMG;GF;157.028;82.116;92.593
