POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
40;61;Classified;68;3:34:34.872;33 Laps;1 Lap;14;2:01.072;170.3;Roadshagger Racing by eEuroparts.com;TCR;;;Audi RS3 LMS TCR;M;488;203;22;67;909;3;;4739;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;;San Francisco, CA;;;1804;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2;Classified;62;2:34:00.407;39 Laps;6 Laps;13;1:53.546;181.6;eEuroparts.com ROWE Racing;GS;;;Audi R8;M;588;203;5;71;909;3;;4736;;;Kenton;Koch;;Charlotte, NC;;;916;1;;;;Tyler;Cooke;;Monticello, NY;;;505;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;89;Classified;54;2:12:41.555;47 Laps;8 Laps;36;2:01.568;169.7;HART;TCR;;;Honda Civic TCR;M;582;76;22;77;2081;3;;4741;;;Chad;Gilsinger;;Marysville, OH;;;517;1;;;;Ryan;Eversley;;Atlanta, GA;;;501;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;5;Classified;54;3:07:55.106;47 Laps;+55:13.551;12;2:01.382;169.9;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta TCR;M;620;265;22;70;7658;3;;4745;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis Jr;;Boca Raton, FL;;;1801;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;65;Classified;47;2:47:25.361;54 Laps;7 Laps;13;1:55.894;178.0;Murillo Racing;GS;;;Mercedes-AMG;M;450;212;5;69;7643;3;;4727;;;Tim;Probert;;Houston, TX;;;491;1;;;;Brent;Mosing;;Lafayette, LA;;;492;2;;;;Justin;Piscitell;;Wingdale, NY;;;493;4;;;;;;;;;;;;;;;;;;;;;;
45;10;Classified;28;1:07:47.375;73 Laps;19 Laps;14;1:59.674;172.3;eEuroparts.com ROWE Racing;TCR;;;Audi RS3 LMS TCR;M;419;203;22;67;909;3;;4737;;;Lee;Carpentier;;Sharon, CT;;;465;3;;;;Kieron;O'Rourke;;George Town, CYM;;;1200;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;54;Classified;28;1:07:47.717;73 Laps;+0.342;11;2:00.083;171.8;JDC-Miller MotorSports;TCR;;;Audi RS3 LMS TCR;M;415;15;22;67;909;3;;4728;;;Michael;Johnson;;East Lansing, MI;;;261;1;;;;Stephen;Simpson;;Cape Town, South Africa;;;765;2;;;;Mikey;Taylor;;Pretoria, South Africa;;;791;3;;;;;;;;;;;;;;;;;;;;;;
47;24;Classified;24;56:13.032;77 Laps;4 Laps;10;1:55.401;178.7;Ian Lacy Racing;GS;;;Ford Mustang GT4;M;589;254;5;54;107;3;;4752;;;Frank;Gannett II;;Salt Lake City, UT;;;1795;1;;;;Drew;Staveley;;Walnut, CA;;;1797;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;67;Classified;24;56:13.055;77 Laps;+0.023;14;1:56.360;177.2;TRG- The Racers Group;GS;;;Porsche 718 Cayman GT4 Clubsport;M;584;253;5;78;112;3;;4751;;;Chris;Bellomo;;Portola Valley, CA;;;1770;1;;;;Robert;Orcutt;;Santa Cruz, CA;;;1653;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;71;Classified;2;4:09.273;99 Laps;22 Laps;2;1:57.726;175.2;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;4755;;;Robin;Liddell;;Newbury, United Kingdom;;;411;1;;;;Andrew;Davis;;Athens, GA;;;329;2;;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;;;;;;;;;;;;;;;;;;;
