NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
76;0;5;3:48.165;0;;2:18.978;0;47.760;0;41.427;0;77.5;17:22.326;14:17;2:18.978;0:47.760;0:41.427;183.4;Patrick Pilet;
76;0;6;2:06.535;0;B;22.242;0;44.728;0;59.565;0;139.7;19:28.861;14:19;0:22.242;0:44.728;0:59.565;260.9;Patrick Pilet;
77;1;1;9:34.597;0;;7:55.988;0;53.475;0;45.134;0;30.8;9:34.597;14:09;7:55.988;0:53.475;0:45.134;157.7;Richard Lietz;
77;1;2;1:49.097;0;;23.326;0;45.992;0;39.779;0;162.0;11:23.694;14:11;0:23.326;0:45.992;0:39.779;258.4;Richard Lietz;
77;1;3;1:44.895;2;;22.162;0;43.933;2;38.800;2;168.5;13:08.589;14:13;0:22.162;0:43.933;0:38.800;260.9;Richard Lietz;
77;1;4;1:45.218;0;;22.024;2;44.191;0;39.003;0;168.0;14:53.807;14:14;0:22.024;0:44.191;0:39.003;261.5;Richard Lietz;
79;1;1;2:23.840;0;;50.681;0;49.867;0;43.292;0;122.9;2:23.840;14:02;0:50.681;0:49.867;0:43.292;170.1;Sam Hancock;
79;1;2;1:50.082;0;;23.773;0;46.405;0;39.904;0;160.5;4:13.922;14:04;0:23.773;0:46.405;0:39.904;252.3;Sam Hancock;
79;1;3;1:46.025;0;;22.716;0;44.297;2;39.012;2;166.7;5:59.947;14:05;0:22.716;0:44.297;0:39.012;254.7;Sam Hancock;
79;1;4;1:45.841;2;;22.401;0;44.315;0;39.125;0;167.0;7:45.788;14:07;0:22.401;0:44.315;0:39.125;256.5;Sam Hancock;
79;1;5;1:45.849;0;;22.432;0;44.341;0;39.076;0;167.0;9:31.637;14:09;0:22.432;0:44.341;0:39.076;257.1;Sam Hancock;
79;1;6;1:45.942;0;;22.510;0;44.384;0;39.048;0;166.8;11:17.579;14:11;0:22.510;0:44.384;0:39.048;257.8;Sam Hancock;
79;1;7;1:46.037;0;;22.305;1;44.648;0;39.084;0;166.7;13:03.616;14:13;0:22.305;0:44.648;0:39.084;258.4;Sam Hancock;
8;1;1;35:51.094;0;;34:28.403;0;45.472;0;37.219;0;8.2;35:51.094;14:35;34:28.403;0:45.472;0:37.219;189.5;Stephane Sarrazin;
