NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
57;2;3;3:57.681;2;;37.410;2;1:31.651;2;1:48.620;2;206.4;15:15.242;12:15:15.242;0:37.410;1:31.651;1:48.620;287.7;Daniel SERRA;;LMGT3;;Kessel Racing;Ferrari;FF;37.410;91.651;108.620;
59;2;1;7:10.204;0;;2:14.125;0;1:49.147;0;3:06.932;1;112.8;7:10.204;12:07:10.204;2:14.125;1:49.147;3:06.932;233.1;Grégoire SAUCY;0:01:28.839;LMGT3;;United Autosports;McLaren;GF;134.125;109.147;186.932;
59;2;2;4:11.143;0;B;39.272;2;1:34.346;2;1:57.525;0;195.3;11:21.347;12:11:21.347;0:39.272;1:34.346;1:57.525;286.2;Grégoire SAUCY;;LMGT3;;United Autosports;McLaren;GF;39.272;94.346;117.525;
59;1;3;5:38.781;0;;2:10.289;0;1:36.076;1;1:52.416;2;144.8;17:00.128;12:17:00.128;2:10.289;1:36.076;1:52.416;281.7;James COTTINGHAM;0:01:38.718;LMGT3;;United Autosports;McLaren;FF;130.289;96.076;112.416;
6;2;1;5:28.354;0;;1:24.586;0;1:29.136;0;2:34.632;0;147.8;5:28.354;12:05:28.354;1:24.586;1:29.136;2:34.632;221.2;Laurens VANTHOOR;0:00:43.347;HYPERCAR;H;Porsche Penske Motorsport;Porsche;FCY;84.586;89.136;154.632;
6;2;2;3:56.727;2;;58.744;0;1:20.354;2;1:37.629;2;207.2;9:25.081;12:09:25.081;0:58.744;1:20.354;1:37.629;331.8;Laurens VANTHOOR;;HYPERCAR;H;Porsche Penske Motorsport;Porsche;GF;58.744;80.354;97.629;
6;2;3;3:35.054;0;B;33.290;2;1:20.095;0;1:41.669;0;228.1;13:00.135;12:13:00.135;0:33.290;1:20.095;1:41.669;336.0;Laurens VANTHOOR;;HYPERCAR;H;Porsche Penske Motorsport;Porsche;GF;33.290;80.095;101.669;
6;2;4;4:53.857;0;B;1:27.267;0;1:32.597;0;1:53.993;0;166.9;17:53.992;12:17:53.992;1:27.267;1:32.597;1:53.993;252.2;Laurens VANTHOOR;0:00:50.294;HYPERCAR;H;Porsche Penske Motorsport;Porsche;FF;87.267;92.597;113.993;
60;2;1;6:58.558;0;;2:12.837;0;1:36.862;0;3:08.859;0;116.0;6:58.558;12:06:58.558;2:12.837;1:36.862;3:08.859;278.1;Lorcan HANAFIN;0:01:30.867;LMGT3;;Iron Lynx;Mercedes;GF;132.837;96.862;188.859;
60;2;2;4:02.350;0;;38.414;0;1:33.131;0;1:50.805;0;202.4;11:00.908;12:11:00.908;0:38.414;1:33.131;1:50.805;283.9;Lorcan HANAFIN;;LMGT3;;Iron Lynx;Mercedes;GF;38.414;93.131;110.805;
60;2;3;4:01.175;2;;38.192;2;1:32.790;2;1:50.193;2;203.4;15:02.083;12:15:02.083;0:38.192;1:32.790;1:50.193;285.4;Lorcan HANAFIN;;LMGT3;;Iron Lynx;Mercedes;FF;38.192;92.790;110.193;
